"certificate_number"@;@"inn"@;@"product_name"@;@"tnved_code"@;@"localization_rate"@;@"enkt_code"@;@"manufacture_power_yearly"@;@"unit_type_name"
"610050022601"@;@"312206749"@;@Алюминий қотишмалардан ишланган витражлар@;@"7610100000"@;@69,57@;@"25.12.10.000-00007"@;@960@;@кв. метр
"604050029406"@;@"306400992"@;@Бетон қоришмаси@;@"3824501000"@;@87,3@;@"23.63.10.000-00004"@;@146 000@;@куб. метр
"604050029405"@;@"306400992"@;@Бетон қоришмаси@;@"3824501000"@;@88@;@"23.63.10.000-00004"@;@182 500@;@куб. метр
"608050028101"@;@"205639064"@;@Ултратовушли сув сатҳи ўлчагичи@;@"9026102900"@;@34,65@;@"26.51.43.114-00001"@;@720@;@шт
"634050002490"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"626050004807"@;@"303155896"@;@Очиқ жавон, ЛДСП 16мм., ўлчами 1700х800х400мм@;@"9403309900"@;@90,02@;@"31.09.13.190-00003"@;@200@;@шт
"634050002489"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002488"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002487"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002486"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002485"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002484"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002483"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"604050029404"@;@"306400992"@;@Tоварни бетон@;@"3824501000"@;@89,7@;@"23.63.10.000-00004"@;@292 000@;@куб. метр
"634050002482"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002481"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002480"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002479"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002478"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002477"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"604050029403"@;@"306400992"@;@Tоварни бетон@;@"3824501000"@;@90,5@;@"23.63.10.000-00004"@;@292 000@;@куб. метр
"604050029402"@;@"306400992"@;@Tоварни бетон@;@"3824501000"@;@91,7@;@"23.63.10.000-00004"@;@292 000@;@куб. метр
"634050002476"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002475"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002474"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002473"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002472"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"639050044704"@;@"200562902"@;@Калибратор@;@"8207199009"@;@49@;@"25.73.60.120-00014"@;@120@;@компл.
"634050002471"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002470"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002469"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002468"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002467"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002466"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002465"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002464"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002463"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002462"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002461"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"613050009509"@;@"311338284"@;@Штампли Эонимус кўчати (Рассада Эонимуса штампового)@;@"0602904800"@;@100@;@"02.10.11.292-00001"@;@2 000@;@шт
"634050002460"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002459"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002458"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002457"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002456"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002455"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002454"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002453"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002452"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002451"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002450"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"613050009508"@;@"311338284"@;@Розмарин@;@"0602904800"@;@100@;@"01.13.19.000-00005"@;@2 000@;@шт
"634050002449"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002448"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002447"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002446"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002445"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002444"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002443"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"604050029401"@;@"306400992"@;@Бетон қоришмаси@;@"3824501000"@;@92,1@;@"23.63.10.000-00004"@;@292 000@;@куб. метр
"634050002442"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002441"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002440"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002439"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002438"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002437"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002436"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002435"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002434"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002433"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002432"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002431"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002430"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002429"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"639050054901"@;@"312076365"@;@Гайка M16@;@"7318163008"@;@35,28@;@"25.94.11.130-00001"@;@60 000@;@кг
"634050002428"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002427"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002426"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002425"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002424"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002423"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002422"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002421"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002420"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002419"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002418"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"613050009507"@;@"311338284"@;@Магнолия кўчати (Рассада Магнолии)@;@"0602904800"@;@100@;@"01.30.10.121-00026"@;@2 000@;@шт
"634050002417"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002416"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002415"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002414"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002413"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002412"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002411"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002410"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002409"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002408"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002407"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"613050009506"@;@"311338284"@;@Падуб баргли магония (Магония падуболистная)@;@"0602904800"@;@100@;@"02.10.11.252-00010"@;@2 000@;@шт
"634050002406"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002405"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002404"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002403"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"634050002402"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"608050028304"@;@"305734024"@;@Гранит плитаси 300*50*20мм@;@"6802931000"@;@100@;@"08.11.12.151-00001"@;@500 000@;@кв.метр
"608050028303"@;@"305734024"@;@Гранит плитаси 200*50*20мм@;@"6802931000"@;@@;@"08.11.12.151-00001"@;@500 000@;@кв. метр
"608050028302"@;@"305734024"@;@Гранит плитаси 200*400*20мм@;@"6802931000"@;@100@;@"08.11.12.151-00001"@;@500 000@;@кв. метр
"608050028301"@;@"305734024"@;@Гранит плитаси 300*600*30мм@;@"6802931000"@;@100@;@"08.11.12.151-00001"@;@500 000@;@кв.метр
"612050003104"@;@"207059359"@;@Кодесарт 100 мг №30@;@"3004900008"@;@44,95@;@"21.20.13.146-00011"@;@117 000@;@упак
"634050002401"@;@"301938570"@;@Резина матоли конвейер тасмаси@;@"4010120000"@;@36,7@;@"22.19.40.110-00001"@;@60 000@;@пог. м
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"639050070501"@;@"302678824"@;@Провод@;@"7413000002"@;@100@;@"27.32.13.199-00005"@;@50 000@;@км
"610050029707"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@69,27@;@"25.21.12.000-00001"@;@160@;@шт
"610050029706"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@68,07@;@"25.21.12.000-00001"@;@160@;@шт
"610050029705"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@66,96@;@"25.21.12.000-00001"@;@160@;@шт
"610050029704"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@67,47@;@"25.21.12.000-00001"@;@160@;@шт
"610050029703"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@66,72@;@"25.21.12.000-00001"@;@160@;@шт
"610050029702"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@74,6@;@"25.21.12.000-00001"@;@160@;@шт
"612050012403"@;@"207059359"@;@Клозопинекс 100 мг № 50@;@"3004900002"@;@31,15@;@"21.20.12.130-00007"@;@144 000@;@упак
"612050012402"@;@"207059359"@;@Клозопинекс 25 мг №50@;@"3004900002"@;@37,8@;@"21.20.12.130-00007"@;@148 500@;@упак
"610050029701"@;@"305239211"@;@Сувни иситиш қозони@;@"8403109000"@;@65,65@;@"25.21.12.000-00001"@;@160@;@шт
"612050012401"@;@"207059359"@;@Кодекапетабин 500 мг №30@;@"3004900002"@;@39,11@;@"21.20.22.100-00031"@;@150 000@;@упак
"639050044712"@;@"200562902"@;@Калибратор@;@"8207199009"@;@22@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044711"@;@"200562902"@;@Калибратор@;@"8207199009"@;@26@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044710"@;@"200562902"@;@Калибратор@;@"8207199009"@;@30,3@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044709"@;@"200562902"@;@Калибратор@;@"8207199009"@;@32,1@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044708"@;@"200562902"@;@Калибратор@;@"8207199009"@;@33,3@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044707"@;@"200562902"@;@Калибратор@;@"8207199009"@;@33@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044706"@;@"200562902"@;@Калибратор@;@"8207199009"@;@38@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044705"@;@"200562902"@;@Калибратор@;@"8207199009"@;@40@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044703"@;@"200562902"@;@Калибратор@;@"8207199009"@;@63@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044702"@;@"200562902"@;@Калибратор@;@"8207199009"@;@60@;@"25.73.60.120-00014"@;@120@;@компл.
"639050044701"@;@"200562902"@;@Калибратор@;@"8207199009"@;@66@;@"25.73.60.120-00014"@;@120@;@компл.
"612050011401"@;@"306005264"@;@ЛДСПдан ясалган ёзув столи 1400х770х600@;@"9403301100"@;@93,85@;@"31.01.10.000-00001"@;@62 400@;@шт
"605050010702"@;@"308608779"@;@Ёғочдан ясалган ишхона тумбаси@;@"9403301900"@;@69@;@"31.01.12.150-00001"@;@150@;@шт
"605050010802"@;@"308608779"@;@Китоб жавони (ЛДСП)@;@"9403309100"@;@69@;@"31.01.12.139-00003"@;@150@;@шт
"605050010801"@;@"308608779"@;@Офис учун ёғоч жавон@;@"9403309100"@;@69@;@"31.01.12.130-00001"@;@150@;@шт
"605050010701"@;@"308608779"@;@Компьютер столи@;@"9403301900"@;@69@;@"31.01.12.110-00004"@;@150@;@шт
"605050010601"@;@"308608779"@;@Офис столи@;@"9403301100"@;@69@;@"31.01.12.110-00002"@;@150@;@шт
"608050020501"@;@"305949167"@;@Шишали эшик@;@"7020008000"@;@53,09@;@"23.19.12.140-00002"@;@1 560@;@шт
"614050010301"@;@"310032438"@;@Газ баллон учун Резина халка 285х15,6мм@;@"4016930005"@;@33,56@;@"22.19.20.112-00015"@;@175 200@;@шт.
"612050012201"@;@"306005264"@;@ЛДСПдан ясалган  тумба (420x560x400)@;@"9403301900"@;@88,98@;@"31.01.12.150-00001"@;@124 800@;@шт
"607050006601"@;@"311689046"@;@Кўрпа пахтали улчами 120x220см (100% кимёвий иплардан тукилган мато, гул босилган)@;@"9404400009"@;@45,91@;@"13.92.11.110-00001"@;@3 000@;@шт
"614050010101"@;@"312784878"@;@Раковина ости жавони, ЛДСП 18 мм, ўлчами 1800900450 мм, ЛДСП каркас@;@"9403409000"@;@38,76@;@"31.02.10.190-00001"@;@2 880@;@шт
"607050006101"@;@"311689046"@;@Ёстиқ пахтали улчами 60х60см (100% кимёвий иплардан тукилган мато, гул босилган)@;@"9404908000"@;@63,55@;@"13.92.24.140-00001"@;@3 000@;@шт
"607050006001"@;@"311689046"@;@Матрац пахтали улчами 200х90см (100% кимёвий иплардан тукилган мато, гул босилган)@;@"9404299000"@;@66,48@;@"13.92.24.190-00001"@;@3 000@;@шт
"607050005901"@;@"311689046"@;@Чойшаб тўплами (чойшаб 150х215см, ёстиқ жилди 60х60см, курпа жилди 150х215см) 100% пахта матосидан тайёрланган гул босилган@;@"6302210000"@;@86,55@;@"13.92.12.194-00001"@;@6 000@;@комплект
"608050025301"@;@"309436906"@;@Подшипник корпуси   250мм@;@"8483303809"@;@81,67@;@"28.15.23.110-00001"@;@216@;@шт.
"610050027401"@;@"305970658"@;@Моноблок корпуси@;@"8473308000"@;@62,96@;@"26.20.13.000-00009"@;@14 400@;@штук
"608050024512"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@48,74@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024511"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@46,49@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024510"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@57,55@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024509"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@55,26@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024508"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@57,27@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024507"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@55,09@;@"23.61.11.120-00002"@;@3 120@;@шт
"613050009505"@;@"311338284"@;@Фотиния кўчати (Рассада фотинии)@;@"0602904800"@;@100@;@"01.30.10.149-00036"@;@2 000@;@шт
"608050024506"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@58,51@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024505"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@60,79@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024504"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@64,92@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024503"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@62,47@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024502"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@65,7@;@"23.61.11.120-00002"@;@3 120@;@шт
"608050024501"@;@"300066115"@;@Бетон плита@;@"6810910000"@;@64,06@;@"23.61.11.120-00002"@;@3 120@;@шт
